1,65.26
2,100.19
3,137.12
4,176.05
5,216.98
6,259.91
7,304.84
8,351.77
9,400.7
10,451.63
11,504.56
12,559.49
13,616.42
14,675.35
15,736.28
16,799.21
17,864.14
18,931.07
19,1000
20,1070.93
21,1143.86
22,1218.79
23,1295.72
24,1374.65
25,1455.58
26,1538.51
27,1623.44
28,1710.37
29,1799.3
30,1890.23
31,1983.16
32,2078.09
33,2175.02
34,2273.95
35,2374.88
36,2477.81
37,2582.74
38,2689.67
39,2798.6
40,2909.53
41,3022.46
42,3137.39
43,3254.32
44,3373.25
45,3494.18
46,3617.11
47,3742.04
48,3868.97
49,3997.9
50,4128.83
